Player,Game,Won,Declarer Points,Trick Win Rate,Failed Contract,Decision Time (s)
Player 2,101,0,41,7.4,1,2.9
Player 2,102,0,0,8,1,2.9
Player 2,103,0,48,8,0,2.8
Player 2,104,1,0,8,0,2.8
Player 2,105,0,0,7.4,0,3
Player 2,106,0,0,7.9,0,2.8
Player 2,107,1,0,8.5,0,2.6
Player 2,108,0,0,8.1,1,2.8
Player 2,109,0,0,7.8,0,3
Player 2,110,0,0,8.3,0,2.8
Player 2,111,1,0,8.3,0,2.8
Player 2,112,0,36,8.2,0,2.6
Player 2,113,1,51,8.2,0,2.6
Player 2,114,1,0,7.9,0,2.9
Player 2,115,1,0,8,1,2.8
Player 2,116,1,0,8.2,0,2.7
Player 2,117,1,0,7.5,0,3
Player 2,118,1,0,8.1,0,2.8
Player 2,119,0,71,8.5,0,2.9
Player 2,120,1,0,8,0,2.8
Player 3,1,0,0,7.4,0,2.4
Player 3,2,0,0,7.4,0,2.6
Player 3,3,0,76,7.2,0,2.4
Player 3,4,0,67,7.4,0,2.5
Player 3,5,0,0,7.8,0,2.7
Player 3,6,0,0,7.8,0,2.7
Player 3,7,1,59,7,0,2.6
Player 3,8,0,0,7.6,0,2.5
Player 3,9,1,0,7,1,2.6
Player 3,10,0,57,7.7,0,2.5
Player 3,11,1,0,7.2,0,2.7
Player 3,12,0,63,7.4,1,2.6
Player 3,13,0,0,7.4,0,2.6
Player 3,14,0,60,6.8,0,2.5
Player 3,15,1,0,7.3,0,2.4
Player 3,16,0,0,7.6,0,2.6
Player 3,17,0,0,7.9,0,2.4
Player 3,18,0,0,7.7,0,2.6
Player 3,19,0,0,7.4,0,2.6
Player 3,20,0,67,7.1,0,2.6
Player 3,21,1,78,6.8,0,2.7
Player 3,22,0,0,7.5,0,2.6
Player 3,23,1,66,7.6,0,2.5
Player 3,24,0,0,7.6,0,2.7
Player 3,25,0,0,7.5,1,2.5
Player 3,26,0,66,7.9,0,2.7
Player 3,27,0,62,7.8,0,2.7
Player 3,28,0,50,7.9,0,2.5
Player 3,29,1,69,7.5,0,2.4
Player 3,30,1,58,7.8,0,2.5
Player 3,31,0,0,7.7,0,2.5
Player 3,32,0,0,7.4,0,2.6
Player 3,33,1,0,7.9,0,2.7
Player 3,34,0,64,7.8,0,2.6
Player 3,35,1,50,7,0,2.7
Player 3,36,1,0,7.7,0,2.6
Player 3,37,0,0,7.8,0,2.5
Player 3,38,0,57,7.6,0,2.8
Player 3,39,0,66,7.7,0,2.7
Player 3,40,0,0,7.5,0,2.6
Player 3,41,0,0,7.3,0,2.6
Player 3,42,0,0,7.3,0,2.6
Player 3,43,1,0,7.4,0,2.8
Player 3,44,1,0,7.3,0,2.6
Player 3,45,0,0,7.3,0,2.5
Player 3,46,1,75,7.3,0,2.6
Player 3,47,0,0,7.2,0,2.6
Player 3,48,1,62,7.8,0,2.8
Player 3,49,1,61,7.3,0,2.7
Player 3,50,0,0,7.8,1,2.6
Player 3,51,0,0,6.9,0,2.6
Player 3,52,0,0,7.6,0,2.7
Player 3,53,1,59,7.4,0,2.6
Player 3,54,0,0,7.3,1,2.7
Player 3,55,0,0,8.2,0,2.5
Player 3,56,0,47,7.2,0,2.5
Player 3,57,1,0,7.3,0,2.6
Player 3,58,0,0,7.1,0,2.5
Player 3,59,1,69,7.6,0,2.6
Player 3,60,1,58,7.2,0,2.5
Player 3,61,1,0,7.4,0,2.7
Player 3,62,1,0,7.8,0,2.6
Player 3,63,1,0,7.2,0,2.6
Player 3,64,0,0,7.6,0,2.6
Player 3,65,0,70,7.6,0,2.8
Player 3,66,1,0,7.3,0,2.7
Player 3,67,1,0,7.1,0,2.5
Player 3,68,0,0,8.1,0,2.4
Player 3,69,0,0,7.4,0,2.5
Player 3,70,0,0,7.5,0,2.7
Player 3,71,1,61,7.6,0,2.5
Player 3,72,1,60,7.3,0,2.7
Player 3,73,1,64,7.5,0,2.7
Player 3,74,1,0,7.6,0,2.4
Player 3,75,1,0,7.8,0,2.5
Player 3,76,0,0,7.1,0,2.8
Player 3,77,0,0,7.4,0,2.8
Player 3,78,0,0,7.5,0,2.7
Player 3,79,0,0,7.2,0,2.6
Player 3,80,0,0,7.6,0,2.5
Player 3,81,0,0,7.6,0,2.5
Player 3,82,0,0,7.8,0,2.6
Player 3,83,0,0,7.6,0,2.6
Player 3,84,1,0,7.1,0,2.6
Player 3,85,1,0,7.6,0,2.6
Player 3,86,0,64,7.7,0,2.6
Player 3,87,0,68,7.5,0,2.6
Player 3,88,0,46,7.6,0,2.6
Player 3,89,1,67,7.2,0,2.4
Player 3,90,1,0,7.3,0,2.6
Player 3,91,1,0,7.4,1,2.6
Player 3,92,0,0,7.2,0,2.7
Player 3,93,0,76,7.3,0,2.4
Player 3,94,1,0,7.9,0,2.5
Player 3,95,1,0,7.4,0,2.5
Player 3,96,1,0,7.8,0,2.5
Player 3,97,0,0,7.3,1,2.4
Player 3,98,0,0,7.4,0,2.4
Player 3,99,0,56,7.2,0,2.7
Player 3,100,0,68,7.4,0,2.7
Player 3,101,0,54,7.6,0,2.6
Player 3,102,0,64,7.5,0,2.6
Player 3,103,0,56,7.3,0,2.5
Player 3,104,1,74,8,1,2.5
Player 3,105,0,51,7.7,0,2.6
Player 3,106,0,65,7.5,1,2.6
Player 3,107,1,0,7.7,0,2.8
Player 3,108,0,62,7.5,0,2.8
Player 3,109,1,0,7.9,0,2.5
Player 3,110,0,68,8.1,0,2.7
Player 3,111,0,0,7.6,1,2.7
Player 3,112,0,0,7.4,0,2.5
Player 3,113,1,0,7.9,0,2.5
Player 3,114,0,0,7.4,0,2.7
Player 3,115,0,0,7.2,0,2.6
Player 3,116,1,0,7.6,1,2.7
Player 3,117,0,0,7.5,0,2.7
Player 3,118,0,62,7.3,0,2.3
Player 3,119,1,0,7,0,2.5
Player 3,120,1,0,7.4,0,2.6
